No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,pm25_24h,aqi_class,hour_sin,hour_cos,dayofweek,is_weekend,PM10_lag1,SO2_lag1,NO2_lag1,CO_lag1,O3_lag1,TEMP_lag1,PRES_lag1,DEWP_lag1,RAIN_lag1,WSPM_lag1,PM10_lag3,SO2_lag3,NO2_lag3,CO_lag3,O3_lag3,TEMP_lag3,PRES_lag3,DEWP_lag3,RAIN_lag3,WSPM_lag3,PM10_lag24,SO2_lag24,NO2_lag24,CO_lag24,O3_lag24,TEMP_lag24,PRES_lag24,DEWP_lag24,RAIN_lag24,WSPM_lag24,is_labeled,date,pm25_lag_1,pm25_lag_2,y_pred,aqi_label,is_alert
48,2013,3,2,23,92.0,114.0,78.0,108.0,2899.0,7.0,-1.3,1023.2,-14.5,0.0,3,0.0,Nongzhanguan,2013-03-02 23:00:00,28.75,2,-0.25881904510252157,0.9659258262890681,5,1,109.0,73.0,118.0,2200.0,6.0,-1.0,1024.2,-14.6,0.0,0.0,82.0,54.0,98.0,1399.0,13.0,0.7,1025.0,-15.3,0.0,1.0,17.0,17.0,41.0,500.0,57.0,-0.5,1032.8,-19.7,0.0,2.1,False,2013-03-02,83.0,69.0,2,Unhealthy,True
47,2013,3,2,22,83.0,109.0,73.0,118.0,2200.0,6.0,-1.0,1024.2,-14.6,0.0,1,0.0,Nongzhanguan,2013-03-02 22:00:00,25.166666666666668,2,-0.5000000000000004,0.8660254037844384,5,1,90.0,68.0,116.0,2200.0,6.0,0.5,1024.8,-15.1,0.0,0.2,77.0,51.0,80.0,1200.0,28.0,1.6,1025.0,-15.4,0.0,0.1,20.0,20.0,56.0,600.0,43.0,0.1,1032.9,-19.2,0.0,1.8,False,2013-03-02,69.0,65.0,2,Unhealthy,True
46,2013,3,2,21,79.0,111.0,61.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,3,0.2,Dongsi,2013-03-02 21:00:00,23.041666666666668,2,-0.7071067811865477,0.7071067811865474,5,1,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,1.0,82.0,43.0,63.0,1100.0,37.0,2.2,1025.4,-15.8,0.0,0.4,17.0,13.0,51.0,600.0,48.0,0.8,1032.4,-19.7,0.0,1.0,False,2013-03-02,71.0,63.0,2,Unhealthy,True
47,2013,3,2,22,98.0,121.0,71.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,1,0.0,Dongsi,2013-03-02 22:00:00,26.333333333333332,2,-0.5000000000000004,0.8660254037844384,5,1,111.0,61.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,0.2,92.0,45.0,72.0,1200.0,27.0,1.6,1025.0,-15.4,0.0,0.1,21.0,17.0,60.0,700.0,36.0,0.1,1032.9,-19.2,0.0,1.8,False,2013-03-02,79.0,71.0,2,Unhealthy,True
48,2013,3,2,23,108.0,131.0,73.0,110.0,2600.0,2.0,-1.3,1023.2,-14.5,0.0,3,0.0,Dongsi,2013-03-02 23:00:00,30.5,2,-0.25881904510252157,0.9659258262890681,5,1,121.0,71.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,0.0,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,1.0,14.0,16.0,58.0,600.0,39.0,-0.5,1032.8,-19.7,0.0,2.1,False,2013-03-02,98.0,79.0,2,Unhealthy,True
48,2013,3,2,23,93.0,120.0,87.0,107.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,3,1.3,Aotizhongxin,2013-03-02 23:00:00,30.75,2,-0.25881904510252157,0.9659258262890681,5,1,113.0,84.0,110.0,1500.0,3.0,-0.6,1022.3,-13.9,0.0,1.4,96.0,54.0,108.0,1399.0,2.0,1.2,1022.9,-14.1,0.0,1.2,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,1.4,False,2013-03-02,81.0,74.0,2,Unhealthy,True
48,2013,3,2,23,86.0,108.0,71.0,97.0,2600.0,5.0,-1.9,1019.2,-11.5,0.0,7,0.0,Gucheng,2013-03-02 23:00:00,36.916666666666664,2,-0.25881904510252157,0.9659258262890681,5,1,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,0.0,0.6,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,0.9,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,0.0,1.1,False,2013-03-02,98.0,98.0,2,Unhealthy,True
47,2013,3,2,22,98.0,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,0.0,6,0.6,Gucheng,2013-03-02 22:00:00,34.0,2,-0.5000000000000004,0.8660254037844384,5,1,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,0.0,0.6,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,0.0,0.7,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,0.0,1.0,False,2013-03-02,98.0,86.0,2,Unhealthy,True
46,2013,3,2,21,98.0,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,0.0,9,0.6,Gucheng,2013-03-02 21:00:00,30.583333333333332,2,-0.7071067811865477,0.7071067811865474,5,1,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,0.9,88.0,50.0,36.0,1600.0,50.0,2.8,1021.2,-13.9,0.0,0.6,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,0.0,0.7,False,2013-03-02,86.0,70.0,2,Unhealthy,True
45,2013,3,2,20,86.0,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,0,0.9,Gucheng,2013-03-02 20:00:00,27.125,2,-0.8660254037844386,0.5000000000000001,5,1,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,0.0,0.7,80.0,50.0,32.0,1500.0,51.0,3.2,1021.6,-14.5,0.0,1.4,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,0.0,1.9,False,2013-03-02,70.0,63.0,2,Unhealthy,True
48,2013,3,2,23,108.0,127.0,70.0,92.0,2100.0,2.0,-2.3,1020.3,-12.1,0.0,3,0.1,Wanshouxigong,2013-03-02 23:00:00,30.916666666666668,2,-0.25881904510252157,0.9659258262890681,5,1,125.0,82.0,93.0,2000.0,2.0,-2.4,1021.3,-11.7,0.0,0.6,96.0,63.0,83.0,1600.0,2.0,-0.2,1022.3,-11.0,0.0,1.1,15.0,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,0.0,1.8,False,2013-03-02,101.0,88.0,2,Unhealthy,True
47,2013,3,2,22,101.0,125.0,82.0,93.0,2000.0,2.0,-2.4,1021.3,-11.7,0.0,11,0.6,Wanshouxigong,2013-03-02 22:00:00,27.041666666666668,2,-0.5000000000000004,0.8660254037844384,5,1,118.0,72.0,91.0,1800.0,2.0,-0.1,1021.8,-10.9,0.0,0.2,88.0,53.0,67.0,1300.0,14.0,0.6,1022.2,-12.8,0.0,0.5,13.0,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,0.0,2.0,False,2013-03-02,88.0,72.0,2,Unhealthy,True
46,2013,3,2,21,88.0,118.0,72.0,91.0,1800.0,2.0,-0.1,1021.8,-10.9,0.0,3,0.2,Wanshouxigong,2013-03-02 21:00:00,23.25,2,-0.7071067811865477,0.7071067811865474,5,1,96.0,63.0,83.0,1600.0,2.0,-0.2,1022.3,-11.0,0.0,1.1,80.0,51.0,52.0,1100.0,31.0,2.6,1022.5,-13.7,0.0,1.3,12.0,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,0.0,1.1,True,2013-03-02,72.0,64.0,2,Unhealthy,True
47,2013,3,2,22,81.0,113.0,84.0,110.0,1500.0,3.0,-0.6,1022.3,-13.9,0.0,5,1.4,Aotizhongxin,2013-03-02 22:00:00,27.875,2,-0.5000000000000004,0.8660254037844384,5,1,103.0,72.0,107.0,1399.0,2.0,0.6,1022.6,-14.2,0.0,1.3,86.0,50.0,97.0,1300.0,10.0,1.5,1022.9,-13.8,0.0,1.2,19.0,21.0,57.0,700.0,32.0,0.9,1030.5,-17.4,0.0,1.8,False,2013-03-02,74.0,67.0,2,Unhealthy,True
46,2013,3,2,21,97.0,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,0.0,14,1.2,Huairou,2013-03-02 21:00:00,26.75,2,-0.7071067811865477,0.7071067811865474,5,1,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,0.0,1.1,67.0,42.0,91.0,1000.0,5.0,0.1,1020.4,-15.5,0.0,1.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,3.3,False,2013-03-02,52.0,53.0,2,Unhealthy,True
47,2013,3,2,22,89.0,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,0.0,14,0.7,Huairou,2013-03-02 22:00:00,29.916666666666668,2,-0.5000000000000004,0.8660254037844384,5,1,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,0.0,1.2,70.0,36.0,100.0,1100.0,2.0,-1.3,1019.9,-12.6,0.0,1.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,3.7,False,2013-03-02,97.0,52.0,2,Unhealthy,True
48,2013,3,2,23,80.0,83.0,30.0,77.0,1399.0,2.0,-2.8,1018.1,-10.1,0.0,14,1.4,Huairou,2013-03-02 23:00:00,32.708333333333336,2,-0.25881904510252157,0.9659258262890681,5,1,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,0.0,0.7,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,0.0,1.1,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,3.7,False,2013-03-02,89.0,97.0,2,Unhealthy,True
47,2013,3,2,22,79.0,79.0,36.0,76.0,2000.0,6.0,-1.0,1024.2,-14.6,0.0,1,0.0,Tiantan,2013-03-02 22:00:00,28.25,2,-0.5000000000000004,0.8660254037844384,5,1,82.0,40.0,78.0,1600.0,4.0,0.5,1024.8,-15.1,0.0,0.2,70.0,43.0,55.0,1100.0,26.0,1.6,1025.0,-15.4,0.0,0.1,16.0,15.0,48.0,800.0,39.0,0.1,1032.9,-19.2,0.0,1.8,False,2013-03-02,73.0,63.0,2,Unhealthy,True
48,2013,3,2,23,98.0,106.0,39.0,79.0,2200.0,4.0,-1.3,1023.2,-14.5,0.0,3,0.0,Tiantan,2013-03-02 23:00:00,31.708333333333332,2,-0.25881904510252157,0.9659258262890681,5,1,79.0,36.0,76.0,2000.0,6.0,-1.0,1024.2,-14.6,0.0,0.0,75.0,44.0,72.0,1300.0,10.0,0.7,1025.0,-15.3,0.0,1.0,17.0,17.0,52.0,800.0,37.0,-0.5,1032.8,-19.7,0.0,2.1,False,2013-03-02,79.0,73.0,2,Unhealthy,True
47,2013,3,2,22,108.0,123.0,46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,5,1.0,Shunyi,2013-03-02 22:00:00,27.583333333333332,2,-0.5000000000000004,0.8660254037844384,5,1,104.0,53.0,90.0,2000.0,4.0,-0.1,1025.3,-13.8,0.0,0.8,54.0,26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,1.3,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,2.2,False,2013-03-02,96.0,69.0,2,Unhealthy,True
45,2013,3,2,20,78.0,108.0,55.0,101.0,1500.0,2.0,1.2,1022.9,-14.1,0.0,5,1.2,Wanliu,2013-03-02 20:00:00,20.25,2,-0.8660254037844386,0.5000000000000001,5,1,94.0,51.0,94.0,1200.0,3.0,1.5,1022.9,-13.8,0.0,1.2,70.0,41.0,80.0,1100.0,21.0,2.2,1023.4,-13.6,0.0,0.4,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,0.0,2.1,False,2013-03-02,65.0,58.0,2,Unhealthy,True
46,2013,3,2,21,84.0,122.0,68.0,103.0,2200.0,2.0,0.6,1022.6,-14.2,0.0,4,1.3,Wanliu,2013-03-02 21:00:00,23.166666666666668,2,-0.7071067811865477,0.7071067811865474,5,1,108.0,55.0,101.0,1500.0,2.0,1.2,1022.9,-14.1,0.0,1.2,83.0,49.0,85.0,1100.0,15.0,1.2,1023.2,-12.3,0.0,0.9,17.0,16.0,57.0,600.0,25.0,0.6,1030.1,-16.7,0.0,0.8,False,2013-03-02,78.0,65.0,2,Unhealthy,True
47,2013,3,2,22,88.0,132.0,65.0,104.0,2000.0,2.0,-0.6,1022.3,-13.9,0.0,5,1.4,Wanliu,2013-03-02 22:00:00,26.208333333333332,2,-0.5000000000000004,0.8660254037844384,5,1,122.0,68.0,103.0,2200.0,2.0,0.6,1022.6,-14.2,0.0,1.3,94.0,51.0,94.0,1200.0,3.0,1.5,1022.9,-13.8,0.0,1.2,20.0,17.0,71.0,700.0,8.0,0.9,1030.5,-17.4,0.0,1.8,False,2013-03-02,84.0,78.0,2,Unhealthy,True
48,2013,3,2,23,84.0,116.0,62.0,100.0,2100.0,2.0,-0.8,1021.1,-13.4,0.0,3,1.3,Wanliu,2013-03-02 23:00:00,29.083333333333332,2,-0.25881904510252157,0.9659258262890681,5,1,132.0,65.0,104.0,2000.0,2.0,-0.6,1022.3,-13.9,0.0,1.4,108.0,55.0,101.0,1500.0,2.0,1.2,1022.9,-14.1,0.0,1.2,29.0,30.0,62.0,600.0,22.0,-0.2,1030.5,-17.4,0.0,1.4,False,2013-03-02,88.0,84.0,2,Unhealthy,True
46,2013,3,2,21,79.0,98.0,57.0,106.0,1700.0,2.0,0.6,1022.6,-14.2,0.0,4,1.3,Guanyuan,2013-03-02 21:00:00,20.458333333333332,2,-0.7071067811865477,0.7071067811865474,5,1,90.0,57.0,100.0,1399.0,5.0,1.2,1022.9,-14.1,0.0,1.2,71.0,52.0,72.0,1100.0,31.0,1.2,1023.2,-12.3,0.0,0.9,14.0,24.0,51.0,500.0,42.0,0.6,1030.1,-16.7,0.0,0.8,False,2013-03-02,67.0,58.0,2,Unhealthy,True
47,2013,3,2,22,86.0,102.0,51.0,108.0,1899.0,2.0,-0.6,1022.3,-13.9,0.0,5,1.4,Guanyuan,2013-03-02 22:00:00,23.625,2,-0.5000000000000004,0.8660254037844384,5,1,98.0,57.0,106.0,1700.0,2.0,0.6,1022.6,-14.2,0.0,1.3,83.0,56.0,88.0,1200.0,16.0,1.5,1022.9,-13.8,0.0,1.2,15.0,11.0,60.0,600.0,31.0,0.9,1030.5,-17.4,0.0,1.8,False,2013-03-02,79.0,67.0,2,Unhealthy,True
48,2013,3,2,23,79.0,88.0,50.0,104.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,3,1.3,Guanyuan,2013-03-02 23:00:00,26.375,2,-0.25881904510252157,0.9659258262890681,5,1,102.0,51.0,108.0,1899.0,2.0,-0.6,1022.3,-13.9,0.0,1.4,90.0,57.0,100.0,1399.0,5.0,1.2,1022.9,-14.1,0.0,1.2,15.0,11.0,51.0,600.0,37.0,-0.2,1030.5,-17.4,0.0,1.4,False,2013-03-02,86.0,79.0,2,Unhealthy,True
48,2013,3,2,23,130.0,136.0,70.0,88.0,2600.0,4.0,-0.9,1023.9,-14.8,0.0,3,1.6,Shunyi,2013-03-02 23:00:00,32.625,2,-0.25881904510252157,0.9659258262890681,5,1,123.0,46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,1.0,82.0,35.0,87.0,1700.0,8.0,0.7,1025.6,-14.5,0.0,1.4,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,2.8,False,2013-03-02,108.0,96.0,2,Unhealthy,True
53,2013,3,3,4,106.0,136.0,79.0,92.0,2799.0,2.0,-4.3,1016.9,-11.8,0.0,5,0.9,Aotizhongxin,2013-03-03 04:00:00,51.041666666666664,2,0.8660254037844386,0.5000000000000001,6,1,129.0,88.0,100.0,2500.0,2.0,-2.6,1017.2,-13.2,0.0,1.2,132.0,80.0,101.0,2200.0,2.0,-2.0,1019.4,-13.2,0.0,1.2,7.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,0.9,False,2013-03-03,105.0,110.0,2,Unhealthy,True
50,2013,3,3,1,80.0,99.0,66.0,85.0,3000.0,5.0,-2.6,1017.6,-10.9,0.0,12,0.2,Gucheng,2013-03-03 01:00:00,42.291666666666664,2,0.25881904510252074,0.9659258262890683,6,1,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,0.0,0.5,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,0.0,0.6,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,0.0,1.0,False,2013-03-03,81.0,86.0,2,Unhealthy,True
49,2013,3,3,0,81.0,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,0.0,14,0.5,Gucheng,2013-03-03 00:00:00,39.708333333333336,2,0.0,1.0,6,1,108.0,71.0,97.0,2600.0,5.0,-1.9,1019.2,-11.5,0.0,0.0,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,0.0,0.6,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,0.0,1.4,False,2013-03-03,86.0,98.0,2,Unhealthy,True
63,2013,3,3,14,127.0,194.0,53.0,51.0,1800.0,71.0,16.6,1008.7,-13.0,0.0,14,2.4,Gucheng,2013-03-03 14:00:00,81.125,2,-0.4999999999999997,-0.8660254037844388,6,1,184.0,66.0,81.0,2399.0,51.0,16.0,1009.3,-13.5,0.0,2.6,115.0,74.0,94.0,3000.0,16.0,10.5,1011.7,-12.2,0.0,1.4,36.0,26.0,12.0,1200.0,62.0,3.7,1022.9,-16.7,0.0,1.1,False,2013-03-03,113.0,102.0,2,Unhealthy,True
62,2013,3,3,13,113.0,184.0,66.0,81.0,2399.0,51.0,16.0,1009.3,-13.5,0.0,14,2.6,Gucheng,2013-03-03 13:00:00,77.16666666666667,2,-0.2588190451025208,-0.9659258262890683,6,1,138.0,68.0,109.0,3100.0,18.0,14.1,1010.4,-12.2,0.0,3.0,113.0,80.0,86.0,3000.0,14.0,6.4,1012.8,-12.2,0.0,1.4,43.0,23.0,6.0,1100.0,65.0,3.5,1023.7,-17.4,0.0,1.2,False,2013-03-03,102.0,97.0,2,Unhealthy,True
61,2013,3,3,12,102.0,138.0,68.0,109.0,3100.0,18.0,14.1,1010.4,-12.2,0.0,14,3.0,Gucheng,2013-03-03 12:00:00,73.75,2,1.2246467991473532e-16,-1.0,6,1,115.0,74.0,94.0,3000.0,16.0,10.5,1011.7,-12.2,0.0,1.4,99.0,60.0,66.0,3399.0,9.0,3.8,1013.6,-12.6,0.0,0.5,36.0,26.0,23.0,1200.0,49.0,3.1,1025.1,-17.2,0.0,2.2,False,2013-03-03,97.0,87.0,2,Unhealthy,True
60,2013,3,3,11,97.0,115.0,74.0,94.0,3000.0,16.0,10.5,1011.7,-12.2,0.0,10,1.4,Gucheng,2013-03-03 11:00:00,70.58333333333333,2,0.258819045102521,-0.9659258262890682,6,1,113.0,80.0,86.0,3000.0,14.0,6.4,1012.8,-12.2,0.0,1.4,88.0,52.0,52.0,2899.0,6.0,1.2,1014.1,-12.6,0.0,0.5,31.0,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,0.0,2.0,False,2013-03-03,87.0,77.0,2,Unhealthy,True
59,2013,3,3,10,87.0,113.0,80.0,86.0,3000.0,14.0,6.4,1012.8,-12.2,0.0,9,1.4,Gucheng,2013-03-03 10:00:00,67.375,2,0.49999999999999994,-0.8660254037844387,6,1,99.0,60.0,66.0,3399.0,9.0,3.8,1013.6,-12.6,0.0,0.5,110.0,46.0,53.0,2899.0,4.0,-2.5,1014.7,-10.3,0.0,0.9,17.0,34.0,45.0,1300.0,30.0,1.7,1027.2,-17.3,0.0,1.9,False,2013-03-03,77.0,78.0,2,Unhealthy,True
58,2013,3,3,9,77.0,99.0,60.0,66.0,3399.0,9.0,3.8,1013.6,-12.6,0.0,11,0.5,Gucheng,2013-03-03 09:00:00,64.375,2,0.7071067811865476,-0.7071067811865475,6,1,88.0,52.0,52.0,2899.0,6.0,1.2,1014.1,-12.6,0.0,0.5,94.0,47.0,65.0,3700.0,4.0,-4.7,1014.4,-11.5,0.0,0.9,15.0,30.0,27.0,1200.0,42.0,0.3,1027.8,-17.5,0.0,0.7,False,2013-03-03,78.0,82.0,2,Unhealthy,True
65,2013,3,3,16,61.0,112.0,20.0,6.0,1100.0,79.0,15.8,1008.4,-11.7,0.0,14,1.9,Gucheng,2013-03-03 16:00:00,84.25,1,-0.8660254037844385,-0.5000000000000004,6,1,149.0,19.0,,1000.0,85.0,16.9,1008.3,-13.8,0.0,3.7,184.0,66.0,81.0,2399.0,51.0,16.0,1009.3,-13.5,0.0,2.6,66.0,47.0,30.0,1600.0,55.0,3.6,1021.7,-15.1,0.0,1.4,False,2013-03-03,97.0,127.0,2,Unhealthy,True
57,2013,3,3,8,78.0,88.0,52.0,52.0,2899.0,6.0,1.2,1014.1,-12.6,0.0,4,0.5,Gucheng,2013-03-03 08:00:00,61.583333333333336,2,0.8660254037844387,-0.4999999999999998,6,1,110.0,46.0,53.0,2899.0,4.0,-2.5,1014.7,-10.3,0.0,0.9,71.0,56.0,78.0,3799.0,5.0,-4.4,1014.5,-11.0,0.0,0.0,9.0,22.0,15.0,1200.0,51.0,-0.6,1027.7,-17.8,0.0,0.9,False,2013-03-03,82.0,76.0,2,Unhealthy,True
54,2013,3,3,5,54.0,71.0,56.0,78.0,3799.0,5.0,-4.4,1014.5,-11.0,0.0,3,0.0,Gucheng,2013-03-03 05:00:00,52.5,1,0.9659258262890683,0.25881904510252074,6,1,92.0,42.0,39.0,2100.0,10.0,-4.2,1014.9,-11.2,0.0,0.0,106.0,66.0,74.0,3799.0,5.0,-3.1,1016.2,-11.1,0.0,0.8,23.0,26.0,11.0,1200.0,50.0,-1.3,1028.0,-18.4,0.0,1.4,False,2013-03-03,79.0,87.0,2,Unhealthy,True
53,2013,3,3,4,79.0,92.0,42.0,39.0,2100.0,10.0,-4.2,1014.9,-11.2,0.0,2,0.0,Gucheng,2013-03-03 04:00:00,50.75,2,0.8660254037844386,0.5000000000000001,6,1,137.0,50.0,61.0,2600.0,5.0,-3.6,1015.4,-11.6,0.0,0.2,99.0,66.0,85.0,3000.0,5.0,-2.6,1017.6,-10.9,0.0,0.2,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,0.0,1.1,False,2013-03-03,87.0,84.0,2,Unhealthy,True
52,2013,3,3,3,87.0,137.0,50.0,61.0,2600.0,5.0,-3.6,1015.4,-11.6,0.0,12,0.2,Gucheng,2013-03-03 03:00:00,48.0,2,0.7071067811865476,0.7071067811865476,6,1,106.0,66.0,74.0,3799.0,5.0,-3.1,1016.2,-11.1,0.0,0.8,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,0.0,0.5,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,0.0,1.1,False,2013-03-03,84.0,80.0,2,Unhealthy,True
